日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150706,2349,錸德,3992516,53688399,13.4,13.65,13.2,13.4,0.1,1391,0.7518796992481203
1150706,2351,順德,15225992,3455176969,216.0,228.0,215.5,228.0,20.5,11264,9.879518072289157
1150706,2352,佳世達,51699569,1815845966,33.0,35.4,32.95,35.4,3.2,19454,9.937888198757767
1150706,2353,宏碁,29334393,967102324,33.1,33.65,32.5,32.8,-0.1,12973,-0.30395136778115506
1150706,2354,鴻準,16885111,1000124087,58.6,60.3,58.2,58.4,2.8,11248,5.035971223021582
1150706,2355,敬鵬,4385043,233631125,53.7,54.2,52.2,53.1,0.0,3031,0.0
1150706,2356,英業達,26058759,1776222165,67.9,69.2,67.2,67.2,-0.4,16040,-0.591715976331361
1150706,2357,華碩,3352579,2278851543,681.0,689.0,672.0,680.0,5.0,6051,0.7407407407407408
1150706,2359,所羅門,4436297,638041231,143.0,146.0,142.0,142.5,0.5,4140,0.35211267605633806
1150706,2360,致茂,1598062,3494035630,2300.0,2300.0,2145.0,2180.0,-85.0,4159,-3.7527593818984544
1150706,2362,藍天,2666567,118914998,42.2,45.2,42.2,44.95,3.45,2097,8.313253012048193
1150706,2363,矽統,20148848,1402457748,71.5,72.2,68.0,68.3,-2.3,13692,-3.2577903682719547
1150706,2364,倫飛,470823,33480035,69.5,72.0,69.2,71.6,3.5,638,5.139500734214391
1150706,2365,昆盈,2111420,73481178,35.65,35.9,34.2,34.2,-0.85,1478,-2.425106990014265
1150706,2367,燿華,9630075,525348434,55.7,56.2,53.3,53.8,-1.2,7406,-2.1818181818181817
1150706,2368,金像電,5477325,6791252975,1335.0,1335.0,1190.0,1225.0,-80.0,16824,-6.130268199233716
1150706,2369,菱生,30482826,1311085006,41.5,43.2,41.5,43.2,3.9,13671,9.923664122137403
1150706,2371,大同,12514476,356357102,28.2,28.75,28.15,28.15,0.15,5119,0.5357142857142857
1150706,2373,震旦行,126046,6793728,53.8,54.1,53.7,53.9,0.0,227,0.0
1150706,2374,佳能,4312130,336075356,77.9,78.9,76.9,77.4,0.3,3262,0.3891050583657587
1150706,2375,凱美,14588654,3117503420,220.0,227.5,203.0,208.5,-7.5,14291,-3.4722222222222223
1150706,2376,技嘉,4511072,1532361186,343.0,344.0,336.0,336.5,-2.0,5041,-0.5908419497784343
1150706,2377,微星,10395395,1495945410,144.5,146.0,142.0,142.5,-0.5,8263,-0.34965034965034963
1150706,2379,瑞昱,3208976,2532214090,793.0,807.0,769.0,769.0,-14.0,5418,-1.7879948914431671
1150706,2380,虹光,102560,2321752,23.5,23.5,22.0,22.2,0.2,225,0.9090909090909092
1150706,2382,廣達,25001955,9568079760,381.5,393.0,378.0,378.0,1.0,26478,0.2652519893899204
1150706,2383,台光電,3511893,19665733290,6225.0,6250.0,5475.0,5475.0,-605.0,49232,-9.950657894736842
1150706,2385,群光,5942293,643938842,108.5,110.5,107.0,107.5,0.5,3838,0.46728971962616817
1150706,2387,精元,935022,38746225,41.0,42.1,40.8,40.8,-0.25,869,-0.6090133982947625
1150706,2388,威盛,3033840,217869105,71.9,73.4,70.3,71.2,0.0,2288,0.0
1150706,2390,云辰,5142030,70632382,14.1,14.25,13.35,13.45,0.2,2282,1.509433962264151
1150706,2392,正崴,2249968,91478756,40.3,41.7,39.8,39.8,0.05,1516,0.1257861635220126
1150706,2393,億光,3900322,274207568,69.6,71.6,69.1,70.0,1.3,2840,1.8922852983988356
1150706,2395,研華,1522169,785285614,523.0,528.0,506.0,515.0,-6.0,3160,-1.1516314779270633
1150706,2397,友通,560660,34562716,61.7,62.8,60.8,61.0,-0.1,526,-0.16366612111292964
1150706,2399,映泰,22982433,1224177172,50.2,55.0,49.95,55.0,5.0,12120,10.0
1150706,2401,凌陽,9287988,309956661,33.8,34.4,32.6,32.7,-0.75,5552,-2.242152466367713
1150706,2402,毅嘉,5523332,381010786,68.1,70.2,67.0,69.1,1.6,3845,2.3703703703703707
1150706,2404,漢唐,2397863,3140049435,1350.0,1350.0,1285.0,1320.0,-30.0,7767,-2.2222222222222223
1150706,2405,輔信,2345139,41489670,17.7,18.0,17.45,17.5,-0.05,996,-0.2849002849002849
1150706,2406,國碩,30197702,1225648304,41.05,41.9,39.0,41.45,0.3,17250,0.7290400972053462
1150706,2408,南亞科,62093163,26866583275,428.0,443.0,420.5,420.5,11.0,58910,2.6862026862026864
1150706,2409,友達,410630157,12889868568,30.4,32.0,30.15,31.7,1.7,117727,5.666666666666666
1150706,2412,中華電,13315485,1888644065,141.0,142.5,141.0,141.5,0.5,5714,0.3546099290780142
1150706,2413,環科,1150160,56163868,49.05,49.65,48.05,48.5,0.05,925,0.10319917440660474
1150706,2414,精技,363814,22663150,61.5,63.5,61.5,61.7,0.2,374,0.3252032520325203
1150706,2415,錩新,1392330,57631667,39.65,41.65,39.65,41.65,3.75,813,9.894459102902376
1150706,2417,圓剛,1275647,61268237,48.5,48.9,47.4,47.45,-0.05,1017,-0.10526315789473684
1150706,2419,仲琦,2211483,64971208,29.5,29.8,29.1,29.1,-0.6,1255,-2.02020202020202
1150706,2420,新巨,570481,35598925,64.0,64.0,61.4,62.0,0.0,1049,0.0
1150706,2421,建準,1337311,200158702,150.0,152.0,147.5,148.5,-0.5,2161,-0.33557046979865773
1150706,2423,固緯,79522,6092623,75.0,78.0,75.0,76.7,2.1,161,2.815013404825737
1150706,2424,隴華,26541,267045,10.2,10.5,9.99,10.0,-0.2,28,-1.9607843137254906
1150706,2425,承啟,1502988,62986970,43.05,43.05,41.2,41.6,-0.75,1131,-1.7709563164108617
1150706,2426,鼎元,18578077,1501914945,79.0,84.2,78.2,79.2,0.2,12216,0.25316455696202533
1150706,2427,三商電,11731589,307602296,26.85,27.1,25.55,25.9,-0.75,5275,-2.8142589118198877
1150706,2428,興勤,6383079,2203795928,351.0,363.5,325.5,343.5,1.5,6883,0.43859649122807015
1150706,2429,銘旺科,2568839,130456376,50.3,52.3,49.05,49.05,0.35,1892,0.7186858316221766
1150706,2430,燦坤,629154,11550938,18.0,18.85,18.0,18.25,0.2,260,1.10803324099723
1150706,2431,聯昌,822625,9968882,12.3,12.3,11.9,12.1,0.05,368,0.41493775933609967
1150706,2432,倚天酷碁-創,36598,1049363,28.7,28.9,28.6,28.65,0.05,34,0.17482517482517484
1150706,2433,互盛電,67153,2829211,42.7,42.7,42.0,42.1,0.05,63,0.11890606420927466
1150706,2434,統懋,1382716,77607171,57.2,58.5,53.2,54.3,-3.4,1204,-5.892547660311958
1150706,2436,偉詮電,8588800,671592041,76.4,79.3,76.2,77.7,1.8,6540,2.371541501976284
1150706,2438,翔耀,0,0,0.0,0.0,0.0,0.0,0.0,0,
1150706,2439,美律,2198170,202998318,92.0,93.2,91.6,91.8,-0.4,2025,-0.43383947939262474
1150706,2440,太空梭,1201237,21463765,17.6,18.2,17.45,18.0,0.6,632,3.4482758620689653
1150706,2441,超豐,34916639,5300496440,156.0,156.0,144.0,145.0,3.0,21025,2.112676056338028
1150706,2442,新美齊,1299973,25811868,19.9,20.05,19.7,19.8,0.1,741,0.5076142131979696
1150706,2444,兆勁,401627,5146232,12.95,13.05,12.55,12.7,-0.2,198,-1.5503875968992251
1150706,2449,京元電子,52913821,18980742211,360.0,367.5,349.5,351.0,16.0,58290,4.776119402985075
1150706,2450,神腦,143044,4159793,29.2,29.2,28.95,29.05,-0.1,302,-0.34305317324185247
1150706,2451,創見,4080708,1110132033,267.0,276.5,267.0,270.5,7.5,4680,2.8517110266159698
1150706,2453,凌群,417743,24153367,57.8,58.5,57.0,57.5,0.1,391,0.17421602787456447
1150706,2454,聯發科,6897420,28930241965,4250.0,4325.0,4110.0,4125.0,-70.0,50653,-1.66865315852205
1150706,2455,全新,12023717,4242940366,372.5,375.0,337.0,338.0,-20.0,15506,-5.58659217877095
1150706,2457,飛宏,5298428,161972242,29.85,31.25,29.8,30.15,0.65,3036,2.2033898305084745
1150706,2458,義隆,6673615,1200540488,183.0,184.0,178.0,179.0,-5.0,5796,-2.717391304347826
1150706,2459,敦吉,64890,4181083,64.5,65.0,64.1,64.1,-0.2,90,-0.31104199066874033
1150706,2460,建通,2750734,109372524,39.15,40.85,38.65,39.5,0.75,1978,1.935483870967742
1150706,2461,光群雷,1133942,20484490,18.2,18.35,17.7,17.9,-0.05,672,-0.27855153203342625
1150706,2462,良得電,462110,11136033,24.6,24.6,23.75,24.15,-0.35,538,-1.4285714285714286
1150706,2464,盟立,12526002,2152242244,173.0,178.5,168.0,169.0,-3.5,12168,-2.0289855072463765
1150706,2465,麗臺,900043,68053699,74.2,77.3,73.7,75.5,2.1,835,2.861035422343324
1150706,2466,冠西電,1976858,187391405,94.8,94.8,94.3,94.8,8.6,987,9.976798143851507
1150706,2467,志聖,2952101,1887631578,625.0,666.0,608.0,655.0,40.0,5582,6.504065040650407
1150706,2468,華經,784390,29873513,38.75,38.75,37.65,37.75,-1.0,777,-2.5806451612903225
1150706,2471,資通,164208,8897825,54.2,54.5,53.9,54.1,0.2,182,0.3710575139146568
1150706,2472,立隆電,8669414,3555954498,425.5,435.0,397.0,405.0,-20.0,13530,-4.705882352941177
1150706,2474,可成,10708015,2130124051,204.0,204.5,196.0,196.0,0.0,11611,0.0
1150706,2476,鉅祥,4147967,564805940,134.0,138.0,133.0,136.0,3.0,4273,2.2556390977443606
1150706,2477,美隆電,220522,4923650,22.7,22.7,22.0,22.2,-0.1,162,-0.4484304932735426
1150706,2478,大毅,12665961,2888780378,240.5,256.5,214.5,215.0,-23.0,11319,-9.663865546218489
1150706,2480,敦陽科,740541,121397733,159.5,167.0,159.5,162.0,2.5,886,1.5673981191222568
1150706,2481,強茂,8453417,1923151922,227.5,227.5,227.5,227.5,20.5,7138,9.903381642512077
1150706,2482,連宇,330561,5776052,17.25,17.85,17.25,17.3,0.3,298,1.7647058823529411
1150706,2483,百容,2359062,164424192,73.0,73.0,64.0,69.9,2.8,2445,4.172876304023844
1150706,2484,希華,80006414,7701837514,98.1,99.4,93.6,95.8,-0.6,52226,-0.6224066390041494
1150706,2485,兆赫,4686595,251565684,54.2,55.0,52.6,53.1,-0.5,3687,-0.9328358208955223
1150706,2486,一詮,9690937,2548428930,248.5,270.0,248.5,259.5,10.5,17091,4.216867469879518
1150706,2488,漢平,409176,22152640,54.5,54.6,53.7,54.3,-0.1,332,-0.18382352941176472
1150706,2489,瑞軒,9588306,399493764,42.0,42.6,41.0,41.05,-0.65,6321,-1.5587529976019188
1150706,2491,吉祥全,941043,37977961,39.0,41.3,39.0,39.45,0.85,555,2.2020725388601035
1150706,2492,華新科,1492056,824946878,590.0,590.0,530.0,557.0,-6.0,3593,-1.0657193605683837
1150706,2493,揚博,5394031,1556191774,309.5,310.0,283.0,283.0,-31.0,8603,-9.872611464968154
1150706,2495,普安,6425046,338844202,52.6,53.7,52.0,52.6,0.8,3751,1.5444015444015444
1150706,2496,卓越,4160,269555,65.0,65.0,64.6,64.6,0.0,10,0.0
1150706,2497,怡利電,4040459,268161823,61.1,66.8,61.1,66.8,6.0,2748,9.868421052631579
1150706,2498,宏達電,7262300,331423837,45.3,46.35,44.95,45.0,0.55,4161,1.2373453318335208
1150706,2501,國建,5260157,129802131,24.4,24.9,24.2,24.75,0.5,2400,2.0618556701030926
1150706,2504,國產,4703431,152967348,32.7,33.0,32.3,32.35,-0.35,2234,-1.0703363914373087
1150706,2505,國揚,186725,3412381,18.3,18.5,18.15,18.25,0.05,141,0.27472527472527475
1150706,2506,太設,193950,1743741,8.95,9.05,8.95,9.01,0.09,131,1.0089686098654709
1150706,2509,全坤建,93297,1262865,13.6,13.65,13.4,13.55,-0.05,123,-0.3676470588235294
1150706,2511,太子,4751475,40715147,8.45,8.67,8.44,8.64,0.24,1296,2.857142857142857
