日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150707,00400A,主動國泰動能高息,124304652,1817008012,15.0,15.01,14.3,14.35,-0.65,32041,-4.333333333333334
1150707,00401A,主動摩根台灣鑫收,4862907,65445628,13.73,14.0,13.24,13.25,-0.47,1220,-3.4256559766763846
1150707,00402A,主動安聯美國科技,8164452,79821861,9.8,9.83,9.74,9.74,-0.06,2265,-0.6122448979591837
1150707,00403A,主動統一升級50,422831712,4487849426,10.98,10.98,10.41,10.45,-0.48,106655,-4.391582799634035
1150707,00404A,主動聯博動能50,10163730,102578057,10.27,10.29,9.96,9.99,-0.27,2158,-2.6315789473684212
1150707,00405A,主動富邦台灣龍耀,286915853,2532735975,9.2,9.2,8.65,8.65,-0.5,73370,-5.46448087431694
1150707,00406A,主動中信台灣收益,37201515,370911755,10.24,10.26,9.83,9.86,-0.37,9361,-3.6168132942326494
1150707,00407A,主動凱基台灣,191979713,1849735731,9.87,9.88,9.49,9.5,-0.35,45075,-3.5532994923857872
1150707,0050,元大台灣50,124629074,13347653985,108.55,109.05,105.85,106.2,-2.05,235518,-1.8937644341801383
1150707,0051,元大中型100,91823,13446747,149.5,149.5,144.0,144.0,-5.5,874,-3.678929765886288
1150707,0052,富邦科技,24464406,1540385749,63.8,64.0,62.05,62.2,-1.35,24068,-2.1243115656963023
1150707,0053,元大電子,65655,15993918,246.4,247.5,237.65,237.65,-8.9,1967,-3.609815453254918
1150707,0055,元大MSCI金融,569715,24246333,42.09,42.89,42.09,42.37,0.28,750,0.665241149916845
1150707,0056,元大高股息,90628906,4763279755,53.25,53.6,51.95,52.15,-1.1,75167,-2.0657276995305165
1150707,0057,富邦摩台,23982,7630556,320.75,321.6,315.4,316.05,-6.4,1286,-1.984803845557451
1150707,0061,元大寶滬深,115843,2913590,25.22,25.22,24.9,24.91,-0.31,169,-1.2291831879460746
1150707,006203,元大MSCI台灣,65836,12868169,197.0,198.2,193.0,193.4,-3.25,131,-1.6526824307144674
1150707,006204,永豐臺灣加權,3432,793008,230.2,230.2,229.4,229.4,-5.4,124,-2.2998296422487225
1150707,006205,富邦上証,139160,5753238,41.7,41.7,40.95,41.05,-0.68,238,-1.6295231248502278
1150707,006206,元大上證50,22773,857757,37.46,37.92,37.4,37.4,-0.55,91,-1.449275362318841
1150707,006207,復華滬深,362553,12156081,33.69,33.69,33.2,33.35,-0.51,143,-1.5062020082693444
1150707,006208,富邦台50,5087336,1266173811,251.6,253.15,246.05,246.5,-4.85,22832,-1.9295802665605728
1150707,00625K,富邦上証+R,0,0,0.0,0.0,0.0,0.0,0.0,0,
1150707,00631L,元大台灣50正2,363737617,13881390830,39.0,39.35,37.06,37.19,-1.56,134689,-4.025806451612903
1150707,00632R,元大台灣50反1,170735671,1715260019,9.9,10.18,9.87,10.18,0.26,18107,2.620967741935484
1150707,00633L,富邦上証正2,2360911,116422774,49.73,50.0,48.55,49.1,-0.63,619,-1.2668409410818418
1150707,00634R,富邦上証反1,288999,902046,3.12,3.14,3.1,3.14,0.03,27,0.9646302250803858
1150707,00635U,期元大S&P黃金,2933519,126414969,43.27,43.27,42.98,43.0,-0.35,2706,-0.8073817762399077
