日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150708,00400A,主動國泰動能高息,68952570,981548980,14.41,14.41,14.05,14.29,-0.06,16823,-0.4181184668989547
1150708,00401A,主動摩根台灣鑫收,5645090,74853725,13.2,13.42,13.13,13.27,0.02,573,0.1509433962264151
1150708,00402A,主動安聯美國科技,5625212,54423163,9.74,9.74,9.65,9.65,-0.09,2198,-0.9240246406570842
1150708,00403A,主動統一升級50,241549106,2506711035,10.47,10.51,10.26,10.41,-0.04,48694,-0.38277511961722493
1150708,00404A,主動聯博動能50,6723149,66725386,10.0,10.01,9.86,9.96,-0.03,1557,-0.3003003003003003
1150708,00405A,主動富邦台灣龍耀,117824822,1009733002,8.77,8.79,8.46,8.57,-0.08,26488,-0.9248554913294799
1150708,00406A,主動中信台灣收益,23785260,232166810,9.92,9.92,9.65,9.78,-0.08,5864,-0.8113590263691683
1150708,00407A,主動凱基台灣,126153200,1188041544,9.52,9.6,9.32,9.44,-0.06,26512,-0.631578947368421
1150708,0050,元大台灣50,96508356,10207933035,106.4,106.6,105.05,106.05,-0.15,163316,-0.14124293785310735
1150708,0051,元大中型100,114709,16517227,145.55,145.55,142.2,143.75,-0.25,573,-0.1736111111111111
1150708,0052,富邦科技,22537887,1396719828,62.3,62.55,61.45,62.15,-0.05,18764,-0.08038585209003217
1150708,0053,元大電子,35520,8473872,238.3,239.6,236.65,238.8,1.15,2225,0.48390490216705234
1150708,0055,元大MSCI金融,261365,11197565,42.64,43.05,42.55,42.97,0.6,585,1.4160962945480293
1150708,0056,元大高股息,49809291,2596877022,52.6,52.65,51.65,52.35,0.2,32508,0.3835091083413231
1150708,0057,富邦摩台,12325,3872824,312.0,314.4,312.0,314.15,-1.9,1106,-0.601170700838475
1150708,0061,元大寶滬深,71685,1799521,25.14,25.2,24.92,25.03,0.12,138,0.4817342432757928
1150708,006203,元大MSCI台灣,22900,4398615,193.25,193.25,191.4,193.1,-0.3,90,-0.15511892450879006
1150708,006204,永豐臺灣加權,1958,444693,227.95,227.95,227.95,227.95,-1.45,91,-0.6320836965998257
1150708,006205,富邦上証,580903,23892662,41.05,41.32,41.0,41.1,0.05,195,0.12180267965895249
1150708,006206,元大上證50,72027,2700668,37.97,37.97,37.36,37.66,0.26,121,0.6951871657754011
1150708,006207,復華滬深,199070,6672095,33.55,33.56,33.23,33.39,0.04,156,0.11994002998500748
1150708,006208,富邦台50,3472764,853423526,247.05,247.75,243.85,246.15,-0.35,14879,-0.14198782961460446
1150708,00625K,富邦上証+R,0,0,0.0,0.0,0.0,0.0,0.0,0,
1150708,00631L,元大台灣50正2,224186771,8288851195,37.48,37.49,36.47,37.14,-0.05,83122,-0.13444474321054048
1150708,00632R,元大台灣50反1,178977545,1822439697,10.11,10.27,10.1,10.16,-0.02,13692,-0.1964636542239686
1150708,00633L,富邦上証正2,2798581,139784430,49.16,50.55,49.16,49.89,0.79,756,1.6089613034623216
1150708,00634R,富邦上証反1,316899,979614,3.12,3.12,3.07,3.11,-0.03,21,-0.9554140127388536
1150708,00635U,期元大S&P黃金,1796606,77109477,42.93,43.08,42.75,43.01,0.01,1887,0.023255813953488372
1150708,00636,國泰中國A50,543477,15412465,28.36,28.51,28.21,28.37,0.27,205,0.9608540925266904
1150708,00636K,國泰中國A50+U,200,1784,8.92,8.92,8.92,8.92,0.09,2,1.0192525481313703
1150708,00637L,元大滬深300正2,25155528,520552754,20.41,20.98,20.41,20.73,0.34,3454,1.6674840608141246
1150708,00638R,元大滬深300反1,180500,1206620,6.73,6.73,6.63,6.66,-0.08,20,-1.1869436201780417
1150708,00639,富邦深100,650952,11567975,17.79,17.97,17.61,17.71,-0.08,250,-0.44969083754918493
1150708,00640L,富邦日本正2,125168,13321383,107.1,107.1,105.5,105.7,-1.5,94,-1.3992537313432836
1150708,00641R,富邦日本反1,789312,2981460,3.8,3.8,3.76,3.76,-0.07,106,-1.8276762402088778
1150708,00642U,期元大S&P石油,4379329,103199373,23.42,23.8,23.42,23.77,1.12,1676,4.9448123620309055
1150708,00643,群益深証中小,3382524,67395106,20.1,20.15,19.68,19.85,-0.17,206,-0.849150849150849
1150708,00643K,群益深証中小+R,3000,12670,4.23,4.23,4.22,4.22,0.0,3,0.0
1150708,00645,富邦日本,77854,4451327,57.2,57.4,57.0,57.1,-0.2,232,-0.34904013961605584
1150708,00646,元大S&P500,6153525,467119245,76.05,76.1,75.6,75.7,-0.2,3259,-0.2635046113306983
1150708,00647L,元大S&P500正2,18934,2553625,135.1,135.3,134.55,134.55,-0.8,56,-0.5910602142593275
1150708,00648R,元大S&P500反1,968570,3884185,4.02,4.02,4.0,4.02,0.0,87,0.0
1150708,00650L,復華香港正2,8090891,123505874,14.71,15.57,14.71,15.53,0.76,1389,5.145565335138795
1150708,00651R,復華香港反1,341148,1892316,5.59,5.65,5.48,5.5,-0.16,67,-2.8268551236749118
1150708,00652,富邦印度,589132,19754990,33.66,33.66,33.48,33.52,-0.14,257,-0.41592394533571003
1150708,00653L,富邦印度正2,204403,9648955,47.5,47.5,47.07,47.34,-0.94,71,-1.9469759734879866
1150708,00654R,富邦印度反1,19100,128063,6.65,6.73,6.65,6.73,0.1,10,1.5082956259426845
1150708,00655L,國泰中國A50正2,1403097,48877720,34.2,35.28,34.2,34.78,0.55,352,1.6067776803973124
1150708,00656R,國泰中國A50反1,1546929,9158602,5.93,5.94,5.84,5.88,-0.1,28,-1.6722408026755855
1150708,00657,國泰日經225,320101,25435269,79.25,79.7,79.25,79.3,-0.4,101,-0.5018820577164367
1150708,00657K,國泰日經225+U,200,4980,24.9,24.9,24.9,24.9,-0.11,2,-0.4398240703718513
1150708,00660,元大歐洲50,4072,187658,46.34,46.34,46.14,46.14,-0.66,89,-1.4102564102564104
1150708,00661,元大日經225,113340,9942592,88.0,88.05,87.2,87.4,-0.55,232,-0.625355315520182
1150708,00662,富邦NASDAQ,4582799,552446874,121.15,121.25,120.05,120.15,-0.9,4870,-0.7434944237918215
1150708,00663L,國泰臺灣加權正2,13702084,1455713166,107.65,107.9,104.7,106.45,-0.25,4253,-0.23430178069353325
1150708,00664R,國泰臺灣加權反1,24152143,39723776,1.64,1.66,1.63,1.65,0.0,767,0.0
1150708,00665L,富邦恒生國企正2,49718394,419143514,8.06,8.63,8.05,8.62,0.56,3733,6.947890818858562
1150708,00666R,富邦恒生國企反1,583430,5635615,9.87,9.87,9.55,9.56,-0.37,48,-3.726082578046324
1150708,00668,國泰美國道瓊,20639,1278752,62.1,62.2,61.85,61.95,-0.2,101,-0.32180209171359614
1150708,00668K,國泰美國道瓊+U,200,3874,19.37,19.37,19.37,19.37,-0.05,2,-0.25746652935118436
1150708,00669R,國泰美國道瓊反1,698145,3659836,5.25,5.25,5.23,5.25,0.02,81,0.3824091778202677
1150708,00670L,富邦NASDAQ正2,785531,157867818,202.25,202.25,200.0,200.15,-2.3,1292,-1.1360829834527042
1150708,00671R,富邦NASDAQ反1,3572904,8792568,2.45,2.47,2.45,2.46,0.0,181,0.0
1150708,00673R,期元大S&P原油反1,20603092,316329698,15.47,15.48,15.19,15.2,-0.83,2437,-5.177791640673737
